,name,link,company,salary_min,salary_max,currency,source
0,Аналитик в отдел продаж b2b,https://russia.superjob.ru/vakansii/analitik-v-otdel-prodazh-b2b-34371306.html,МобильныеТелеСистемы,NaN,NaN,NaN,superjob.ru
1,Аналитик,https://russia.superjob.ru/vakansii/analitik-31183225.html,РЕСО-Гарантия,NaN,NaN,NaN,superjob.ru
2,"Ведущий аналитик-тестировщик (функциональное, регрессионное, нагрузочное тестирование)",https://russia.superjob.ru/vakansii/veduschij-analitik-testirovschik-34202284.html,Банк ВТБ (ПАО),NaN,NaN,NaN,superjob.ru
3,Аналитик 1С ERP,https://russia.superjob.ru/vakansii/analitik-1s-erp-34500495.html,ГК Идеал,NaN,NaN,NaN,superjob.ru
4,Бизнес-аналитик по продуктам Office365,https://russia.superjob.ru/vakansii/biznes-analitik-po-produktam-office365-34435410.html,Суши Мастер,NaN,NaN,NaN,superjob.ru
5,Аналитик,https://russia.superjob.ru/vakansii/analitik-34409538.html,"Компания ""Стек""",50000,60000,000,superjob.ru
6,Экономист-аналитик,https://russia.superjob.ru/vakansii/ekonomist-analitik-34384188.html,Группа компаний Добрыня,40000,NaN,руб./месяц,superjob.ru
7,Аналитик по оптимизации бизнес-процессов,https://russia.superjob.ru/vakansii/analitik-po-optimizacii-biznes-processov-34390865.html,Компания ПЭК,NaN,120000,руб./месяц,superjob.ru
8,"Системный бизнес-аналитик (контур WMS, удаленная работа)",https://russia.superjob.ru/vakansii/sistemnyj-biznes-analitik-34369453.html,"Дочки & Сыночки, сеть супермаркетов",NaN,NaN,NaN,superjob.ru
9,"Бизнес-аналитик (1С, Axelot)",https://russia.superjob.ru/vakansii/biznes-analitik-34313429.html,ОптиКом,NaN,NaN,NaN,superjob.ru
10,Системный аналитик (Личный кабинет),https://russia.superjob.ru/vakansii/sistemnyj-analitik-34357171.html,СОГАЗ,NaN,NaN,NaN,superjob.ru
11,Ведущий аналитик / Data Engineer,https://russia.superjob.ru/vakansii/veduschij-analitik-34313441.html,Альянс,NaN,NaN,NaN,superjob.ru
12,Web аналитик,https://russia.superjob.ru/vakansii/web-analitik-34298884.html,Интернет бутик Bosco,NaN,120000,руб./месяц,superjob.ru
13,Маркетолог-аналитик,https://russia.superjob.ru/vakansii/marketolog-analitik-29133647.html,НПО ГАКС-АРМСЕРВИС,NaN,NaN,NaN,superjob.ru
14,Аналитик 1С,https://russia.superjob.ru/vakansii/analitik-1s-33662592.html,Кировский завод,NaN,NaN,NaN,superjob.ru
15,Системный аналитик,https://russia.superjob.ru/vakansii/sistemnyj-analitik-34448803.html,Анторика,NaN,NaN,NaN,superjob.ru
16,Аналитик,https://russia.superjob.ru/vakansii/analitik-34383788.html,Ростелеком,50000,NaN,руб./месяц,superjob.ru
17,Ведущий программист-аналитик 1С,https://russia.superjob.ru/vakansii/veduschij-programmist-analitik-1s-34383693.html,Автоматизация и консалтинг,NaN,200000,руб./месяц,superjob.ru
18,Старший кредитный аналитик (малый бизнес),https://russia.superjob.ru/vakansii/starshij-kreditnyj-analitik-34427538.html,Сбербанк России,NaN,NaN,NaN,superjob.ru
19,Аналитик,https://russia.superjob.ru/vakansii/analitik-34498035.html,«Группа ГУТА»,NaN,NaN,NaN,superjob.ru
20,Аналитик в отдел продаж b2b,https://russia.superjob.ru/vakansii/analitik-v-otdel-prodazh-b2b-34371306.html,МобильныеТелеСистемы,NaN,NaN,NaN,superjob.ru
21,Аналитик,https://russia.superjob.ru/vakansii/analitik-31183225.html,РЕСО-Гарантия,NaN,NaN,NaN,superjob.ru
22,"Ведущий аналитик-тестировщик (функциональное, регрессионное, нагрузочное тестирование)",https://russia.superjob.ru/vakansii/veduschij-analitik-testirovschik-34202284.html,Банк ВТБ (ПАО),NaN,NaN,NaN,superjob.ru
23,Аналитик 1С ERP,https://russia.superjob.ru/vakansii/analitik-1s-erp-34500495.html,ГК Идеал,NaN,NaN,NaN,superjob.ru
24,Бизнес-аналитик по продуктам Office365,https://russia.superjob.ru/vakansii/biznes-analitik-po-produktam-office365-34435410.html,Суши Мастер,NaN,NaN,NaN,superjob.ru
25,Аналитик,https://russia.superjob.ru/vakansii/analitik-34409538.html,"Компания ""Стек""",50000,60000,000,superjob.ru
26,Экономист-аналитик,https://russia.superjob.ru/vakansii/ekonomist-analitik-34384188.html,Группа компаний Добрыня,40000,NaN,руб./месяц,superjob.ru
27,Аналитик по оптимизации бизнес-процессов,https://russia.superjob.ru/vakansii/analitik-po-optimizacii-biznes-processov-34390865.html,Компания ПЭК,NaN,120000,руб./месяц,superjob.ru
28,"Системный бизнес-аналитик (контур WMS, удаленная работа)",https://russia.superjob.ru/vakansii/sistemnyj-biznes-analitik-34369453.html,"Дочки & Сыночки, сеть супермаркетов",NaN,NaN,NaN,superjob.ru
29,"Бизнес-аналитик (1С, Axelot)",https://russia.superjob.ru/vakansii/biznes-analitik-34313429.html,ОптиКом,NaN,NaN,NaN,superjob.ru
30,Системный аналитик (Личный кабинет),https://russia.superjob.ru/vakansii/sistemnyj-analitik-34357171.html,СОГАЗ,NaN,NaN,NaN,superjob.ru
31,Ведущий аналитик / Data Engineer,https://russia.superjob.ru/vakansii/veduschij-analitik-34313441.html,Альянс,NaN,NaN,NaN,superjob.ru
32,Web аналитик,https://russia.superjob.ru/vakansii/web-analitik-34298884.html,Интернет бутик Bosco,NaN,120000,руб./месяц,superjob.ru
33,Маркетолог-аналитик,https://russia.superjob.ru/vakansii/marketolog-analitik-29133647.html,НПО ГАКС-АРМСЕРВИС,NaN,NaN,NaN,superjob.ru
34,Аналитик 1С,https://russia.superjob.ru/vakansii/analitik-1s-33662592.html,Кировский завод,NaN,NaN,NaN,superjob.ru
35,Системный аналитик,https://russia.superjob.ru/vakansii/sistemnyj-analitik-34448803.html,Анторика,NaN,NaN,NaN,superjob.ru
36,Аналитик,https://russia.superjob.ru/vakansii/analitik-34383788.html,Ростелеком,50000,NaN,руб./месяц,superjob.ru
37,Ведущий программист-аналитик 1С,https://russia.superjob.ru/vakansii/veduschij-programmist-analitik-1s-34383693.html,Автоматизация и консалтинг,NaN,200000,руб./месяц,superjob.ru
38,Старший кредитный аналитик (малый бизнес),https://russia.superjob.ru/vakansii/starshij-kreditnyj-analitik-34427538.html,Сбербанк России,NaN,NaN,NaN,superjob.ru
39,Аналитик,https://russia.superjob.ru/vakansii/analitik-34498035.html,«Группа ГУТА»,NaN,NaN,NaN,superjob.ru
